election_year,tweet_id,created_at,content,lang,username,display_name,user_location,followers,following,statuses,verified,retweet_count,like_count,reply_count,place_name,country,source
2021,1439687143476105226,2021-09-19T20:25:37.000Z,Did Justin Trudeau Stop Teaching at a Vancouver Private School Under the Cloud of a Sex Scandal? https://t.co/z5FGcFhvlU via @snopes,en,Real_K1dX,Official Lyons Autoracing and Lyons Designs X,Canada,23,81,1236,False,0,0,0,,,x_api
2021,1439687082767630338,2021-09-19T20:25:23.000Z,@globalnews Really?   Questions about how Much Debt Canada is in have followed Trudeau...but that doesn't mean he's Answered One of them.  #BlameHarper is all he says.,en,lulu48_,Lulu🦋🌴🌻💘🌷🩵🙏,The West,2212,2044,76107,False,0,0,0,,,x_api
2021,1439687053051113477,2021-09-19T20:25:16.000Z,"@globeandmail CP24 in Toronto showed Trudeau in York Region ( Maple)  in frenzied rant before a tiny, subdued crowd as Liberal incumbent MP Deborah Schulte stood somber and still in the background.",en,parsons_clement,Clement Parsons,"Laurentian, Ontario",162,1439,11382,False,0,0,0,,,x_api
2021,1439686995266048002,2021-09-19T20:25:02.000Z,"@mohamadfakih8 @karinagould @JustinTrudeau Well diminishing hobbies, income and way of life for 2.2 million others. All because they did nothing wrong. Don't forget how we've been diminished on the international scene. Canada is no longer a world power and never will be under Trudeau. But we are good for a laugh now.",en,PrairieVeteran,Shaughn.SGT(ret),"Saskatoon, Saskatchewan",20806,1793,113662,False,0,0,0,,,x_api
2021,1439686801896054785,2021-09-19T20:24:16.000Z,"@kshahrooz Return to minority gov't, even with increased vote for Liberals, will be stinging defeat for Trudeau. He called an unnecessary election during a pandemic. No amount of Alberta/Sask bashing will erase the stigma of defeat.",en,lingosteve,Steve Kaufmann🇺🇦.🇨🇦,West Vancouver,18463,981,34217,False,0,2,0,,,x_api
2021,1439686681842573317,2021-09-19T20:23:47.000Z,"American friends, please send all of your good vibes to our Canadian neighbors tomorrow. We need them to keep Trudeau so we can #BuildBackBetter &amp; tackle climate change together. #Elxn44 🌎 https://t.co/qdsgHnRLEG",en,logicBFF,maria,"St Petersburg, FL",2274,3845,76306,False,2,16,1,,,x_api
2021,1439686609818071049,2021-09-19T20:23:30.000Z,"@4est2J @globeandmail CP24 in Toronto showed Trudeau in York Region ( Maple)  in frenzied rant before a tiny, subdued crowd as Liberal incumbent MP Deborah Schulte stood somber and still in the background.",en,parsons_clement,Clement Parsons,"Laurentian, Ontario",162,1439,11382,False,0,0,0,,,x_api
2021,1439686604608745472,2021-09-19T20:23:29.000Z,@averitt_don @realmonsanto @JordanSchachtel First take down Communist Trudeau and put on the Conservative Prime Minister @erinotoole who has the common sense to rescue Canada from the Commie!,en,licht_lucia,Licht Lucia,,32,629,5582,False,0,0,0,,,x_api
2021,1439686289469677568,2021-09-19T20:22:14.000Z,"#VoteLiberal #LiberalSurge for #LiberalMajority. Canada needs to move #ForwardForEveryone #pournoustous. Every Liberal vote counts. Voter Libéral tout le monde!
#elxn44vote #cdnpoli #polcan https://t.co/UxDUPlYiCP",fr,sparkyb1,sparkyperth1.bsky.social,"Sept 2020: Now PERTH, ON 🇨🇦",3150,5046,107713,False,2,3,0,,,x_api
2021,1439686143000330245,2021-09-19T20:21:39.000Z,"@erinotoole @CPC_HQ  I voted for Canada future. Please vote tomorrow, please vote for our future. Blue blue blue. Don’t vote Trudeau by voting PPC https://t.co/qtpB1WvhUP",en,gosia_barker,MaGoBar,"Kelowna, British Columbia",22,204,1311,False,0,1,0,,,x_api
